bll; seq; 004E 0326; LATIN CAPITAL LETTER N WITH COMBINING COMMA BELOW; N̦; 004E; N; icao-ext; mapped
bll; char; 004F; LATIN CAPITAL LETTER O; O; 004F; O; icao-ext; identity
bll; char; 0050; LATIN CAPITAL LETTER P; P; 0050; P; icao-ext; identity
bll; seq; 0050 0300; LATIN CAPITAL LETTER P WITH COMBINING GRAVE ACCENT; P̀; 0050; P; icao-ext; mapped
bll; seq; 0050 0304; LATIN CAPITAL LETTER P WITH COMBINING MACRON; P̄; 0050; P; icao-ext; mapped
bll; seq; 0050 0315; LATIN CAPITAL LETTER P WITH COMBINING COMMA ABOVE RIGHT; P̕; 0050; P; icao-ext; mapped
bll; seq; 0050 0323; LATIN CAPITAL LETTER P WITH COMBINING DOT BELOW; P̣; 0050; P; icao-ext; mapped
bll; char; 0051; LATIN CAPITAL LETTER Q; Q; 0051; Q; icao-ext; identity
bll; char; 0052; LATIN CAPITAL LETTER R; R; 0052; R; icao-ext; identity
bll; seq; 0052 0306; LATIN CAPITAL LETTER R WITH COMBINING BREVE; R̆; 0052; R; icao-ext; mapped
bll; seq; 0052 0325; LATIN CAPITAL LETTER R WITH COMBINING RING BELOW; R̥; 0052; R; icao-ext; mapped
bll; seq; 0052 0325 0304; LATIN CAPITAL LETTER R WITH COMBINING RING BELOW AND COMBINING MACRON; R̥̄; 0052; R; icao-ext; mapped
bll; char; 0053; LATIN CAPITAL LETTER S; S; 0053; S; icao-ext; identity
bll; seq; 0053 0300; LATIN CAPITAL LETTER S WITH COMBINING GRAVE ACCENT; S̀; 0053; S; icao-ext; mapped
bll; seq; 0053 0304; LATIN CAPITAL LETTER S WITH COMBINING MACRON; S̄; 0053; S; icao-ext; mapped
bll; seq; 0053 031B 0304; LATIN CAPITAL LETTER S WITH COMBINING HORN AND COMBINING MACRON; S̛̄; 0053; S; icao-ext; mapped
bll; seq; 0053 0331; LATIN CAPITAL LETTER S WITH COMBINING MACRON BELOW; S̱; 0053; S; icao-ext; mapped
bll; char; 0054; LATIN CAPITAL LETTER T; T; 0054; T; icao-ext; identity
bll; seq; 0054 0300; LATIN CAPITAL LETTER T WITH COMBINING GRAVE ACCENT; T̀; 0054; T; icao-ext; mapped
bll; seq; 0054 0304; LATIN CAPITAL LETTER T WITH COMBINING MACRON; T̄; 0054; T; icao-ext; mapped
bll; seq; 0054 0308; LATIN CAPITAL LETTER T WITH COMBINING DIAERESIS; T̈; 0054; T; icao-ext; mapped
bll; seq; 0054 0315; LATIN CAPITAL LETTER T WITH COMBINING COMMA ABOVE RIGHT; T̕; 0054; T; icao-ext; mapped
bll; seq; 0054 031B; LATIN CAPITAL LETTER T WITH COMBINING HORN; T̛; 0054; T; icao-ext; mapped
bll; char; 0055; LATIN CAPITAL LETTER U; U; 0055; U; icao-ext; identity
bll; seq; 0055 0307; LATIN CAPITAL LETTER U WITH COMBINING DOT ABOVE; U̇; 0055; U; icao-ext; mapped
bll; char; 0056; LATIN CAPITAL LETTER V; V; 0056; V; icao-ext; identity
bll; char; 0057; LATIN CAPITAL LETTER W; W; 0057; W; icao-ext; identity
bll; char; 0058; LATIN CAPITAL LETTER X; X; 0058; X; icao-ext; identity
bll; char; 0059; LATIN CAPITAL LETTER Y; Y; 0059; Y; icao-ext; identity
bll; char; 005A; LATIN CAPITAL LETTER Z; Z; 005A; Z; icao-ext; identity
